id,name,email,phone,company,address,insurance_risk_score,lifetime_value,total_rentals,is_active,created_at
1ca9595e-b927-4c8b-a17f-323e0c283060,Natalie Graves,mcmahonmary@example.org,001-353-336-6589x6723,Moore-Hayes,"827 Chang Grove
North Angelport, PR 31436",79.6,12990.26,21,True,2024-02-07T15:39:31
0b0f5fd2-9141-4623-9ab3-7b9414d43046,Michelle Walsh,hollandbrianna@example.net,260.775.7112x523,"Wheeler, Simmons and Moore","85856 Rodriguez Stream
Port Richardborough, AZ 95055",39.6,8790.42,8,True,2026-05-24T13:15:19
c3770f50-7096-4ffa-8ec8-3df91ff0f2c8,Jennifer Robinson,reynoldsisabel@example.com,(851)390-9177x863,Thornton-Olson,"5995 Johnson Parks
Priscillaport, WA 11277",68.3,81398.45,22,True,2024-12-26T11:44:21
b2c31650-b23a-4c34-898a-70205c337192,Sarah Weber,amanda91@example.net,+1-477-668-7545x6727,"Davis, Hanson and Brown","58989 Angela Manor
Munozport, NH 64899",56.6,113212.13,15,True,2024-02-21T22:36:32
3f483723-85eb-43fc-aa06-a41e4b92850a,Brian Lam,qshepherd@example.com,(820)249-0759x1940,Garcia LLC,"43790 Johnson Lodge Suite 339
South Juliehaven, OK 80977",42.2,85191.49,13,True,2024-04-26T05:46:06
4cf6ec55-a7f7-463a-b26c-5fa9ecff193c,Stephanie Velez,lbarry@example.com,573-462-1860,Garcia PLC,"964 Tina Radial Suite 499
South Patrickton, IN 13653",20.7,35743.81,20,True,2024-02-25T12:18:51
6977c136-837c-44cb-9bf0-0a3ee8532eb4,Kimberly Moran,daniellegreene@example.org,763-508-3476x9373,Harris PLC,"421 Mark Mission Apt. 569
Paynefurt, LA 67474",43.1,143156.06,14,True,2024-03-11T16:26:08
713a8773-913e-4531-a453-18bf5e372f56,Jeremy Flynn,jeffreycooper@example.net,5027726297,Thompson-Vasquez,"0559 Timothy Forges
East Todd, FM 55484",34.0,60704.35,13,True,2024-06-06T23:26:47
abdec9da-09ae-4e7c-9e1a-2021fa40b6fb,Misty Randall,james85@example.net,001-410-249-8388x8165,Howe Ltd,"414 Jeffrey Point
Lake Christopherburgh, MA 39527",11.6,16762.48,25,True,2024-03-29T09:15:09
cfda6bfa-1868-40a5-b8ca-6081459e10d8,Phillip Jensen,kevin96@example.com,(965)733-8285,Lewis Inc,"0612 Huff Isle
Bryantborough, ID 69953",49.5,16331.3,15,True,2025-02-14T14:37:46
b00e9788-a39e-4b89-81d7-403c66ee6f0a,William Buckley,williamortega@example.com,976.815.4938x719,Sullivan and Sons,"7892 Ronald Summit Apt. 532
East Jennifer, RI 60282",49.3,212201.85,21,True,2023-08-20T20:52:26
5d9f6cae-2fb3-41ea-9f08-fbc1573ee862,Gordon Stevens,dawnlawrence@example.org,(819)408-2014,Mullins-Powell,"Unit 5611 Box 5381
DPO AP 36258",26.6,71694.38,12,True,2026-06-27T21:32:40
a1601b20-3206-4485-8d36-acd9f25d2813,Dawn Burke,michael38@example.com,766-354-1951x157,Orozco and Sons,"6968 Johnson Stravenue Apt. 494
Lake Johnberg, DE 99505",78.1,50191.89,12,True,2025-10-10T06:08:15
9888ccc8-2785-40b0-85db-04f4d4a34792,Edward Ferguson,courtneygardner@example.com,001-916-626-2844,Sanchez Inc,"5247 Smith Valley Suite 907
New Joshua, OK 32548",22.0,90182.24,15,True,2026-02-10T23:03:02
8300e3b8-4e36-4cd0-9094-c6787c5d4fb9,Melissa Jefferson,jay79@example.com,001-728-762-3032,"Schmidt, Hardy and Russell","828 Renee Hollow
West Shannon, PW 45495",52.0,56592.59,13,True,2024-07-23T10:55:33
69a242bb-b019-4dae-9df7-31f6202caabe,John Martin,jacobsonkevin@example.org,6795093973,"Hubbard, Glenn and Thompson","USNV Gibson
FPO AA 54261",39.9,9580.21,11,True,2025-11-25T12:02:23
528d5dc5-fa22-4054-9dfb-5f7a8114c6cd,Maria Ochoa,ehanson@example.org,+1-268-292-4970x135,"Murphy, Marshall and Green","655 Rodriguez Overpass Apt. 204
Bellfurt, WI 80842",34.3,129309.52,17,True,2026-05-19T21:20:08
0f13ce4b-33a8-4e88-aa71-9d5000ba5158,Anthony Martinez,kevin27@example.org,(852)996-6214x95436,"Dougherty, Baker and Nelson","Unit 6267 Box 3353
DPO AA 58318",43.6,53938.14,20,True,2024-07-26T11:52:42
08463e2c-bb4c-4072-9776-41809b410c82,Tina Hull,davidhaynes@example.com,+1-393-745-6151x2010,Huffman-Thompson,"2887 Lara Wells Suite 317
Port Brandy, VA 51458",17.9,4886.31,19,True,2024-09-03T17:46:31
08f9d987-3b7f-4396-91af-3e88dba71842,Ryan Russell,cody21@example.com,381.350.3157,"Jenkins, Smith and Blair","352 Christopher Row Apt. 437
Lake Sarahburgh, ID 82903",53.7,21478.38,17,True,2023-09-19T16:38:43
bd93a9bb-94e7-4f6d-8f65-2dcf2da5d86b,Michael Key,carterashley@example.org,352-870-4854x87180,"Pearson, Edwards and Evans","PSC 0167, Box 9492
APO AP 98889",55.9,253.72,17,True,2024-05-22T20:16:16
62ff3973-e6e5-498c-96e4-248eb59183e3,Brian Jones,sarahwashington@example.org,332.373.8975,"Wallace, Smith and Lin","4990 Brown Station Apt. 925
East Jamie, SD 08630",35.7,58865.76,10,True,2025-02-26T16:35:45
edcd7270-7c38-4e2b-a544-37d79eae44b4,Michael Stevenson,ebrown@example.org,(359)558-8222x807,"Vasquez, Burnett and Branch","Unit 4264 Box 4341
DPO AA 58062",30.5,19681.75,17,True,2024-04-25T13:25:19
33411ea5-6f70-4054-81aa-fb7279cc456e,Michele Elliott,hmueller@example.com,320-838-4250,Hill Ltd,"339 Tasha Parks Suite 847
West Lindseyville, NY 27542",65.7,94597.8,18,True,2024-07-21T22:34:28
d1eb15d7-77f7-4b80-bd0d-9739aa82f636,Melanie Houston,adammontoya@example.com,408-549-6429x938,Nelson Ltd,"14459 Brenda Row
Jenniferland, FL 41719",45.1,15408.01,17,True,2024-09-26T08:30:54
6e2e99a4-a052-4bbe-b097-030dc3c65633,Troy Pearson,david12@example.net,001-757-973-6960x28608,Brown-Hart,"675 Andrea Lights Apt. 377
Gonzalezland, VI 25949",34.9,49866.72,14,True,2025-11-24T13:21:38
903f381d-cf42-442d-b02b-9a4b7e7495cd,Andrea Patrick,richardthomas@example.net,872-999-4202,Marks LLC,"Unit 3687 Box 5482
DPO AE 86766",44.7,10860.74,19,True,2025-06-15T17:06:03
